name,count_original,count_updated,count_matched,precision,recall,f1,mean_dist_error_px,mean_ori_error_rad
1,15,19,14,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.0,0.012357319705188274
2,14,14,14,1.0,1.0,1.0,0.0,0.02648625150322914
